タスクID,担当,モデル,入力,出力,キャッシュ書込,キャッシュ読出,合計,返答回数,セッションID,記録元,最終更新
T-009,オーケストレーター,claude-opus-5,2,2612,2265,144025,148904,1,05330ee4-9550-45bb-90ee-291034c6e39e,main,2026-09-03
T-009,オーケストレーター,claude-opus-5,98,56668,121084,6291612,6469462,49,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-03
T-010,org-implementation,claude-opus-5,138,25596,327540,6859805,7213079,69,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-af73acfed4d051800,2026-09-03
T-010,org-test,claude-opus-5,84,26060,277361,3612525,3916030,42,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-ab0b8718de2b4e4d5,2026-09-03
T-010,org-test,claude-opus-5,170,32343,364031,9531735,9928279,85,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-ac6ebcda27a79af0e,2026-09-03
T-010,オーケストレーター,claude-opus-5,94,99425,130635,8721549,8951703,47,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-03
T-011,org-implementation,claude-opus-5,330,91453,1230937,28454133,29776853,165,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-a9fbed97191ea5826,2026-09-03
T-011,org-review,claude-opus-5,60,31808,469107,3093231,3594206,30,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-af66c765a617a71a3,2026-09-03
T-011,org-test,claude-opus-5,152,73165,406255,10330767,10810339,76,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-ab11d87381005f2a5,2026-09-03
T-011,org-test,claude-opus-5,168,32043,348715,9010517,9391443,84,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-abc51d508d846236e,2026-09-03
T-011,オーケストレーター,claude-opus-5,2,3956,2643,146290,152891,1,05330ee4-9550-45bb-90ee-291034c6e39e,main,2026-09-03
T-011,オーケストレーター,claude-opus-5,54,53873,85174,7962978,8102079,27,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-03
T-011,オーケストレーター,claude-opus-5,54,66555,85093,7244046,7395748,27,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-013,オーケストレーター,claude-opus-5,14,10030,17058,1101586,1128688,7,05330ee4-9550-45bb-90ee-291034c6e39e,main,2026-09-03
T-013,オーケストレーター,claude-opus-5,14,7386,10590,990856,1008846,7,2dbb1eb4-d644-438d-bc45-3cd92ab686c0,main,2026-09-03
T-013,オーケストレーター,claude-opus-5,4,4712,16354,367937,389007,2,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-014,org-implementation,claude-opus-5,234,46931,354014,13182097,13583276,117,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-a6b46ae4bb46cb436,2026-09-03
T-014,オーケストレーター,claude-opus-5,42,34373,50038,3570798,3655251,21,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-03
T-015,org-implementation,claude-opus-5,92,12631,241443,3471144,3725310,46,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-a9e0fc6984f6e7dfa,2026-09-03
T-015,オーケストレーター,claude-opus-5,14,24032,27796,1437856,1489698,7,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-03
T-015,オーケストレーター,claude-opus-5,8,7928,9251,993880,1011067,4,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-016,org-documentation,claude-opus-5,186,33639,476843,9354542,9865210,93,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-a3fc219bda7176991,2026-09-03
T-016,オーケストレーター,claude-opus-5,34,28293,37270,3240847,3306444,17,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-017,org-implementation,claude-opus-5,170,43512,368593,9789473,10201748,85,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-a4da5fdd679f33f82,2026-09-03
T-017,org-test,claude-opus-5,214,67412,813224,12203135,13083985,107,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-a7c2d133b52de59c0,2026-09-03
T-017,オーケストレーター,claude-opus-5,2,1858,5588,206473,213921,1,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-03
T-017,オーケストレーター,claude-opus-5,44,62457,92837,5030168,5185506,22,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-018,オーケストレーター,claude-opus-5,8,4789,9573,907148,921518,4,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-03
T-019,org-implementation,claude-opus-5,172,34611,293946,8676291,9005020,86,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-a5d1d503fe13e0702,2026-09-03
T-019,オーケストレーター,claude-opus-5,6,13488,18336,902743,934573,3,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-03
T-019,オーケストレーター,claude-opus-5,68,58576,113309,9056231,9228184,34,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-020,org-implementation,claude-opus-5,230,48987,407439,14197923,14654579,115,aa1a99a2-4d54-4aca-8021-a2c858a99a55,agent-a7b51b95031e62e02,2026-09-03
T-020,org-review,claude-opus-5,72,41827,376264,3128984,3547147,36,e49308c3-aaa3-42b5-be7f-669b8fcb5485,agent-a347c33e3a3d3d98c,2026-09-03
T-020,オーケストレーター,claude-opus-5,12,18917,18621,1634227,1671777,6,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-03
T-020,オーケストレーター,claude-opus-5,60,55189,69160,6352661,6477070,30,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-021,オーケストレーター,claude-opus-5,6,19980,13489,723526,757001,3,059f11ad-d813-4f25-824a-3891c5097dd8,main,2026-09-03
T-021,オーケストレーター,claude-opus-5,2,682,635,232799,234118,1,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-022,オーケストレーター,claude-opus-5,8,11068,10343,1059787,1081206,4,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-023,オーケストレーター,claude-opus-5,4,2111,6305,577335,585755,2,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-024,オーケストレーター,claude-opus-5,2,868,10173,305999,317042,1,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-025,オーケストレーター,claude-opus-5,2,269,4032,326694,330997,1,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-026,オーケストレーター,claude-opus-5,4,2289,5869,666112,674274,2,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
T-027,オーケストレーター,claude-opus-5,12,5010,6291,1395974,1407287,6,059f11ad-d813-4f25-824a-3891c5097dd8,main,2026-09-03
T-027,オーケストレーター,claude-opus-5,178,116123,148058,16207392,16471751,89,62ba0fd7-9eb8-4697-a092-e9581bacbc54,main,2026-09-03
T-027,オーケストレーター,claude-opus-5,2,2268,1056,106535,109861,1,dc7dc254-4de9-4147-a455-4a6323726ccd,main,2026-09-03
T-028,オーケストレーター,claude-opus-5,46,29737,40426,5066336,5136545,23,059f11ad-d813-4f25-824a-3891c5097dd8,main,2026-09-03
T-028,オーケストレーター,claude-opus-5,228,162074,1017182,29069245,30248729,114,62ba0fd7-9eb8-4697-a092-e9581bacbc54,main,2026-09-03
T-028,オーケストレーター,claude-opus-5,4,2807,6286,207840,216937,2,dc7dc254-4de9-4147-a455-4a6323726ccd,main,2026-09-03
T-029,オーケストレーター,claude-opus-5,12,10844,24288,858878,894022,6,4ff9ee0e-24d2-43cd-8b8e-9266a8ffa769,main,2026-09-03
T-030,オーケストレーター,claude-opus-5,84,55233,844570,7473210,8373097,42,059f11ad-d813-4f25-824a-3891c5097dd8,main,2026-09-03
T-031,org-design,claude-opus-5,148,96921,938050,9857259,10892378,74,4ff9ee0e-24d2-43cd-8b8e-9266a8ffa769,agent-aa15c2ec0db257820,2026-09-03
T-031,オーケストレーター,claude-opus-5,8,6593,13483,602736,622820,4,4ff9ee0e-24d2-43cd-8b8e-9266a8ffa769,main,2026-09-03
T-032,org-design,claude-opus-5,264,81209,795625,17042488,17919586,132,4ff9ee0e-24d2-43cd-8b8e-9266a8ffa769,agent-acb5c7f1cdc594f63,2026-09-03
T-032,オーケストレーター,claude-opus-5,32,19790,43160,2438836,2501818,16,4ff9ee0e-24d2-43cd-8b8e-9266a8ffa769,main,2026-09-03
タスク不明,org-review,claude-opus-5,26,2436,237008,716808,956278,13,92969bff-754c-4e34-acf1-65d0158110f8,agent-a4978fd78b656041a,2026-09-03
タスク外,オーケストレーター,<synthetic>,0,0,0,0,0,1,05330ee4-9550-45bb-90ee-291034c6e39e,main,2026-09-03
タスク外,オーケストレーター,<synthetic>,0,0,0,0,0,1,2dbb1eb4-d644-438d-bc45-3cd92ab686c0,main,2026-09-03
タスク外,オーケストレーター,<synthetic>,0,0,0,0,0,1,c0dcae14-7a57-4244-a39f-fa823d5e06c4,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,8,969,170306,174237,345520,4,05330ee4-9550-45bb-90ee-291034c6e39e,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,194,147619,310729,12813127,13271669,97,059f11ad-d813-4f25-824a-3891c5097dd8,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,1196,91189,1618957,16718235,18429577,114,1928d4ea-1145-42fa-9dd5-2e8b83a459c5,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,108,94323,591520,6217960,6903911,54,27bfd743-59fb-4190-a72d-c7e4bc129022,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,70,46857,370432,4214542,4631901,38,298704a6-3a3b-4cf3-b6ae-5de39a5281a4,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,74,43921,269021,3500069,3813085,37,2b39ed21-5c96-43ab-ad8d-c9ab325015c0,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,10,3066,200976,295118,499170,5,2dbb1eb4-d644-438d-bc45-3cd92ab686c0,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,223,157614,701806,18301385,19161028,121,30a6facd-2815-4445-8b55-745310f02e4e,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,44,15671,205887,1818934,2040536,22,317801c9-951e-479d-a171-26a8096c6b0b,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,14,1664,136105,537557,675340,7,364d7dc9-a732-46f1-94fb-23ed574133a1,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,200,141642,1125073,13955798,15222713,109,41721460-c657-407c-b572-f957733230bd,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,305,88940,1390722,22616668,24096635,162,457b367c-4ec1-4113-a067-3f63da65ab12,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,38,14532,318062,2039545,2372177,19,4ff9ee0e-24d2-43cd-8b8e-9266a8ffa769,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,4823,162828,2839188,35751457,38758296,213,5577c24f-b9c0-43c8-ae9e-edcf740feec0,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,70,38150,95205,4345801,4479226,35,62ba0fd7-9eb8-4697-a092-e9581bacbc54,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,408,214943,2525376,39433216,42173943,219,753dba5e-19f4-4259-92aa-faed6549791c,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,66,92574,258201,3476886,3827727,33,872b2307-4110-4122-a3e0-747c12d79be9,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,44,36628,180709,2099094,2316475,22,8902c8ae-64e6-414b-951f-da68b29853af,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,52,25126,237691,2667682,2930551,26,92969bff-754c-4e34-acf1-65d0158110f8,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,492,202323,2300112,42579838,45082765,248,98466c10-9e48-4875-a903-5d712576781c,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,924,153914,1681777,34771066,36607681,206,99a00ff9-6afa-4ad0-a9c6-746b41aaf357,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,906,245023,1585871,32471749,34303549,159,a065142c-a9a0-4eb9-9585-d45bee160e83,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,455,259804,2892603,42369623,45522485,232,a1cc9ac0-74b4-4548-a925-a805396334e6,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,328,210752,447918,23608653,24267651,164,a8cedbeb-1652-4928-b60b-0a9f4f7b2e43,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,2,992,70365,26261,97620,1,aa1a99a2-4d54-4aca-8021-a2c858a99a55,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,292,273137,1591512,27058911,28923852,158,ac00e2a1-f03e-4eb2-a88e-dcc9388283b6,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,332,173212,1079501,28180865,29433910,171,b8f95382-e18d-4a7d-8299-21f716614d3c,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,208,76937,260529,11981513,12319187,104,bd070a0b-d407-4e5a-b062-146375ba47b5,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,38,18778,150563,1803743,1973122,21,c5511fbc-cfdf-433d-a608-46eea729b43e,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,38,10229,303536,1611751,1925554,19,c7aad823-6179-455f-9b09-f3a6043d10bd,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,1271,182162,1662166,28264837,30110436,186,d03a05dd-beac-4ba8-ad49-caf45b6730f3,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,142,83208,320028,7909947,8313325,71,d06b1e6a-e8cd-4b6b-a875-0002d6b4e43a,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,6,965,207840,101305,310116,3,dc7dc254-4de9-4147-a455-4a6323726ccd,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,8,676,155676,251365,407725,4,e49308c3-aaa3-42b5-be7f-669b8fcb5485,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,473,211445,2094482,41389487,43695887,241,ee91d889-31bb-440e-bd17-1bed1edd89b6,main,2026-09-03
タスク外,オーケストレーター,claude-opus-5,498,344786,2432335,70338448,73116067,254,f9e5d0e2-96ae-418f-a21a-9edd7dd12ebd,main,2026-09-03
タスク外,オーケストレーター,claude-sonnet-5,158,145677,1288037,10265446,11699318,79,0a23440e-c840-4759-8b14-681ffc053e9d,main,2026-09-03
タスク外,オーケストレーター,claude-sonnet-5,696,414215,6302321,84536016,91253248,348,5659c269-2cd5-4416-8c52-540ffc5cc7db,main,2026-09-03
タスク外,オーケストレーター,claude-sonnet-5,314,237624,2268676,23770205,26276819,157,c0dcae14-7a57-4244-a39f-fa823d5e06c4,main,2026-09-03
